躄	[tích] ① Khoèo cả hai chân gọi là tích 躄, khoèo một chân gọi là bả 跛 (có chỗ đọc là bí).
瓜	[qua] ① Dưa, các thứ dưa có quả đều gọi là qua. ② Qua kì 瓜期 đổi thay chức việc, hẹn người này đến thay người kia gọi là qua kì. ③ Con gái đến mười sáu tuổi gọi là phá qua 破瓜, vì chữ qua 瓜 giống hình hai chữ bát 八, tức mười sáu. ④ Qua lí 瓜李 nói sự hiềm nghi, xỏ giầy ở ruộng dưa người ta ngờ là hái dưa, đội lại mũ ở dưới cây mận, người ta ngờ là hái mận, dẫu ngay người ta cũng ngờ rằng gian: qua điền bất nạp lí, lí hạ bất chỉnh quan 瓜田不納履，李下不整冠. ⑤ Qua cát 瓜葛 kẻ thân thích. Hai họ không có liên thuộc gì với nhau mà vì các ngành dây dưa với nhau mới nên thân thích gọi là qua cát.
瓦	[ngoã] ① Ngói. ② Ngoã giải 瓦解 tan lở, vỡ lở.
玉	[ngọc, túc] ① Ngọc, đá báu. ② Ðẹp, như ngọc diện 玉面 mặt đẹp như ngọc. ③ Dùng để nói các bậc tôn quý, như ngọc thể 玉體 mình ngọc, ngọc chỉ 玉趾 gót ngọc, v.v. ④ Vo thành, như vương dục ngọc nhữ 王欲玉女 (Thi Kinh 詩經) vua muốn gây dựng cho mày thành tài. ⑤ Một âm là túc. Người thợ ngọc. ⑥ Họ Túc.
玄	[huyền] ① Ðen, sắc đen mà không có màu mỡ gọi là huyền. ② Huyền diệu, huyền bí. Lẽ sâu xa lắm gọi là huyền. Như người tu đạo, đời gọi là huyền học 玄學. Nhà Phật gọi cái cửa do đấy tu vào là huyền quan 玄關. Cháu sáu đời gọi là huyền tôn 玄孫.
犯	[phạm] ① Xâm phạm, cái cứ không nên xâm vào mà cứ xâm vào gọi là phạm, như can phạm 干犯, mạo phạm 冒犯, v.v. ② Kẻ có tội. ③ Tên khúc hát.
汁	[trấp, hiệp] ① Nước, nhựa. Vật gì có nước lỏng chảy ra gọi là trấp. ② Vừa mưa vừa sa tuyết. ③ Một âm là hiệp. Hoà, cùng nghĩa với chữ hiệp 協.
汀	[đinh] ① Bãi thấp, bãi sông. ② Sông Ðinh.
氾	[phiếm] ① Giàn giụa. ② Rộng khắp, lênh đênh. ③ Sông Phiếm.
氷	[băng] ① Tục dùng như chữ băng 冰.
氷	[băng] ① Cũng như chữ băng 冰.
民	[dân] ① Người, dân, loài người thuộc ở dưới quyền chính trị gọi là dân, như quốc dân 國民 dân nước.
氐	[để, đê] ① Nền, gốc. ② Một âm là đê. Tên một bộ lạc giống rợ ở cõi tây. ② Sao đê 氐, một sao trong nhị thập bát tú.
母	[mẫu] ① Mẹ. ② Phàm vật gì làm cốt để sinh ra các cái đều gọi là mẫu, như mẫu tài 母財 tiền vốn. ③ Tiếng gọi tôn các đàn bà tôn trưởng, như cô mẫu 姑母 bà cô, cữu mẫu 舅母 bà mợ. ④ Giống cái, như mẫu kê 母雞 gà mái, mẫu trệ 母彘 lợn sề, v.v. ⑤ Một âm là mô. Men, mẻ.
正	[chánh, chính] ① Phải, là chánh đáng, như chánh thức 正式 khuôn phép chánh đáng, chánh lí 正理 lẽ chánh đáng, v.v. Cái gì sai mà bảo sửa lại cho phải cũng gọi là chánh, như khuông chánh 匡正 giúp đỡ làm cho chánh đáng. ② Ngay, ở giữa, như chánh diện 正面 mặt chánh, chánh toạ 正坐 ngồi chính giữa, chánh thính 正廳 toà ngồi chính giữa, v.v. ③ Ngay thẳng, như công chánh 公正 công bằng ngay thẳng, các bậc hiền triết đời trước gọi là tiên chánh 先正 cũng theo nghĩa ấy. ④ Thuần chánh, như chánh bạch 正白 trắng nguyên, chánh xích 正赤 đỏ nguyên, v.v. ⑤ Bực lớn nhất, như nhạc chánh 樂正 chức quan đầu coi âm nhạc, công chánh 工正 chức quan đầu coi về công tác, v.v. ⑥ Chức chánh, bực chánh, chức chủ về một việc, như chánh tổng 正總, phó tổng 副總 phụ giúp chánh tổng, chánh thất phẩm 正七品, tòng thất phẩm 從七品 kém phẩm chánh, v.v. ⑦ Ðúng giữa, như tí chánh 子正 đúng giữa giờ tí, ngọ chánh 午正 đúng giữa giờ ngọ, v.v. ⑧ Tiếng giúp lời, nghĩa là, tức là, như chánh duy đệ tử bất năng học dã 正惟弟子不能學也 tức là vì con không hay học vậy. ⑨ Vật để làm cớ. ⑩ Ðủ. ⑪ Chất chính. ⑫ Ngay ngắn. ⑬ Mong hẹn. ⑭ Phần chính. Phần nhiều cũng đọc là chữ chính. ⑮ Một âm là chính. Tháng đầu năm gọi là chính nguyệt 正月 tháng giêng. Ngày xưa các nhà vua họ này thay họ khác lên trị vì lại đổi tên riêng một ngày làm ngày đầu năm, nhà Thương thì dùng ngày sửu làm ngày đầu năm, v.v. gọi là chính sóc 正朔. Ta quen đọc là chữ chính. ⑯ Cái đích tập bắn, như chính hộc 正鵠 giữa đích, vì thế nên khuôn phép của một sự vật gì cũng gọi là chính hộc.
朮	[truật] ① Một thứ cây củ dùng làm thuốc được, như thương truật 蒼朮, bạch truật 白朮, v.v.
札	[trát] ① Cái thẻ, ngày xưa không có giấy, văn tự gì cũng viết vào ván gỗ nhỏ gọi là trát. Thế cho nên thư từ cũng gọi là trát, như tin trát 信札 cái thư, tờ của quan sức cho dân cũng gọi là trát. ② Chết non, như yểu trát 夭札 non yểu. ③ Lần áo dày.
永	[vĩnh] ① Lâu, dài, mãi mãi, như vĩnh viễn 永遠.
本	[bổn, bản] ① Gốc, một cây gọi là nhất bổn 一本. ② Cỗi rễ, cỗi nguồn, cái cỗi rễ của một sự gì gọi là bổn, như xả bổn trục mạt 捨本逐末 bỏ cỗi rễ mà theo ngọn ngành. ③ Trước, vốn, như bổn ý 本意 ý trước của tôi. ④ Vốn lại (nguyên lai) dùng làm lời trợ từ, như bổn cai như thử 本該如此 vốn lại phải như thế. ⑤ Của mình, bổn thân 本身 thân mình, bổn quốc 本國 nước mình, bổn vị 本位 cái địa vị của mình, bổn lĩnh 本領 cái năng lực của mình, không phải cầu gì ở ngoài, v.v. ⑥ Tiền vốn, tiền gốc, như nhất bổn vạn lợi 一本萬利 một vốn muôn lời. ⑦ Phép ngày xưa các tập sớ tâu vua cũng gọi là bổn. ⑧ Tập, sách vở tranh vẽ bìa thiếp đều gọi là bổn cả, như khắc bổn 刻本 bản chữ khắc. Một quyển sách cũng gọi là nhất bổn 一本. Ta quen đọc là chữ bản.
末	[mạt] ① Ngọn, như mộc mạt 木末 ngọn cây, trượng mạt 杖末 đầu gậy. Sự gì không phải là căn bản cũng gọi là mạt, như đi buôn gọi là trục mạt 逐末, theo đuổi nghề mọn, vì ngày xưa trọng nghề làm ruộng mà khinh nghề đi buôn vậy. ② Không, như mạt do dã dĩ 末由也已 không biết noi vào đâu được vậy thôi. ③ Hết, cuối, như mạt thế 末世 đời cuối, mạt nhật 末日 ngày cuối cùng, v.v. ④ Mỏng, nhẹ, như mạt giảm 末減 giảm nhẹ bớt đi. ⑤ Phường tuồng đóng thầy đồ già gọi là mạt. ⑥ Nhỏ, vụn, như dược mạt 藥末 thuốc đã tán nhỏ. ⑦ Mỏn mọn, thấp hẹp. Dùng làm lời tự nhún mình, như mạt học 末學 kẻ học mỏn mọn này.
未	[vị, mùi] ① Chi vị, chi thứ tám trong 12 chi. Từ một giờ chiều đến ba giờ chiều gọi là giờ vị. Thường quen đọc là chữ mùi. ② Chửa, như vị lai 未來 chưa lại, chưa tới. ③ Chưa, dùng làm lời trợ từ, như hàn mai trước hoa vị 寒梅著花未 mơ đã nở hoa chưa? (Vương Duy 王維). ④ Không. ⑤ Lời nói chưa nhất định, như vị khả tri dã 未可知也 chưa thể biết được.
旦	[đán] ① Sớm, lúc trời mới sáng gọi là đán. ② Nói sự thốt nhiên không lường được, như nhất đán địch chí 一旦敵至 một mai giặc đến. ③ Vai tuồng đóng đàn bà gọi là đán.
斥	[xích] ① Ðuổi, gạt ra. ② Chê, bác, như chỉ xích 指斥 chỉ chỗ lầm ra mà bác đi. ③ Bới thấy, như sung xích 充斥 bới thấy rất nhiều. Sự vật đầy dẫy cũng gọi là sung xích. ④ Dò xem, như xích hậu 斥候 dò xét xem tình hình quân địch thế nào. ⑤ Khai thác, như xích thổ 斥土 khai thác đất cát. ⑥ Ðất mặn.
打	[đả] ① Ðánh đập. ② Về đâu, như đả na lí tẩu 打那裏走 chạy về đâu, cũng như chữ hướng 向. Lại có nghĩa là lấy, như đả lương 打糧 lấy lương, cũng như chữ 取. ③ Ðả thần 打臣 dịch âm chữ dozen, nghĩa là một tá (12 cái). ④ Làm, như bất đả cuống ngữ 不打誑語 chẳng làm sự nói dối, đả ban 打扮 thay làm bộ dạng khác, đả thính 打聽 nghe ngóng, v.v.
扒	[bái] ① Móc ra, bới ra. ② Tục gọi kẻ trộm kẻ cắp là bái thủ 扒手.
扑	[phốc] ① Ðập. Ðánh sẽ gọi là phốc. ② Cái phốc, một thứ đồ dùng để đánh người.
戹	[ách] ① Khốn ách, cũng như chữ ách 阨. Có khi dùng như chữ ách 厄. ② Hẹp. ③ Gian khổ.
戊	[mậu] ① Can mậu, can thứ năm trong mười can.
忉	[đao] ① Ðao đao 忉忉 lo đau đáu.
必	[tất] ① Ắt hẳn, lời nói quyết định, như tất nhiên 必然 sự tất thế. ② Mong được hi vọng mà có ý muốn cho tất được. Như vô ý vô tất 毋意毋必 đừng cứ ý riêng mình, đừng cầu ắt phải thế. ③ Hẳn, như hữu công tất thưởng 有功必賞 có công ắt hẳn được thưởng.
弘	[hoằng] ① Lớn, mở rộng ra, làm cho rộng lớn hơn.
弗	[phất] ① Chẳng, như phi nghĩa phất vi 非議弗為 chẳng phải nghĩa chẳng làm. ② Trừ đi. ③ Một nguyên chất trong hoá học, dịch âm chữ Flourine.
弍	[nhị] ① Chữ nhị 二 cổ.
弁	[biện, biền, bàn] ① Cái mũ lớn đời xưa. Chia ra hai thứ mũ da và mũ tước, mũ da để quan võ dùng, mũ tước để quan văn dùng. ② Nhân mũ biện bằng da là mũ quan võ đội nên gọi quan võ là biện như binh biện 兵弁, tướng biện 將弁, v.v. ③ Hấp tấp, nóng nảy. Cũng như chữ biện 卞. ④ Sợ run lẩy bẩy. Ta quen đọc là biền. ⑤ Một âm là bàn. Vui.
幼	[ấu] ① Nhỏ bé, non nớt. Trẻ bé gọi là ấu trĩ 幼稚 học thức còn ít cũng gọi là ấu trĩ, nghĩa là trình độ còn non như trẻ con vậy.
年	[niên] ① Năm. ② Tuổi. ③ Người đỗ cùng khoa gọi là đồng niên 同年. Hai nhà đi lại với nhau gọi là niên nghị 年誼. ④ Ðược mùa.
平	[bình, biền] ① Bằng phẳng, như thuỷ bình 水平 nước phẳng, địa bình 地平đất phẳng. Hai bên cách nhau mà cùng tiến lên đều nhau gọi là bình hành tuyến 平行線. ② Bằng nhau, như bình đẳng 平等 bằng đẳng, bình chuẩn 平準 quân san thuế mà bằng nhau, v.v. Nay gọi sự đem gạo nhà nước ra bán rẻ cho giá gạo khỏi kém là bình thiếu 平糶 là bởi nghĩa đó. ③ Bình trị. Chịu phục mà không dám chống lại gọi là bình phục 平服, yên lặng vô sự gọi là bình yên 平安 hay thái bình 太平. ④ Hoà bình, sự gì làm cho trong lòng tấm tức gọi là bất bình 不平. ⑤ Thường, như bình nhật 平日 ngày thường, bình sinh 平生 lúc thường, v.v. Xoàng, như bình đạm 平淡 nhạt nhẽo, loàng xoàng. ⑥ Cái mẫu nặng nhẹ trong phép cân. Tục dùng như chữ xứng 秤. ⑦ Tiếng bằng. ⑧ Một âm là biền. Biền biền 平平 sửa trị, chia đều.
布	[bố] ① Vải, những đồ dệt bằng gai bằng sợi bông gọi là bố. ② Tiền tệ, như hoá bố 貨布, toàn bố 泉布 đều là thứ tiền ngày xưa. ③ Bày, bày đặt đồ đạc gọi là bố. Ðem các lẽ nói cho mọi người nghe cũng gọi là bố. ④ Cho, như bố thí 布施 cho khắp, cho hết. Phép tu nhà Phật có sáu phép tu tới Bồ-tát, phép bố thí đứng đầu, vì phép này trừ được ngay cái bệnh tham vậy. Ðầu tỉnh có quan bố chánh 布政 nghĩa là chức quan thi hành chánh trị vậy.
帀	[táp] ① Nguyên là chữ táp 匝.
巿	[thị] ① Chợ, chỗ để mua bán gọi là thị. Giá hàng vì sự cung cầu chậm trễ hay cần kíp mà lên xuống giá gọi là thị giá 巿價. Nói về trạng huống sự mua bán gọi là thị diện 巿面. Kẻ làm hàng sách cho hai bên mua bán mà lấy lợi gọi là thị quái 巿儈. Ðồ gì bền tốt gọi là thị hoá 巿貨, đồ gì không tốt gọi là hành hoá 行貨. ② Mua, như cô tửu thị bô bất thực 沽酒巿脯不食 (Luận ngữ 論語) rượu nem mua ở chợ không ăn, thị ân 巿恩 mua ơn, v.v.
庀	[phỉ] ① Ðủ, sắm. ② Sửa trị (coi làm).
巨	[cự, há] ① Lớn, cự thất 巨室 nhà có tiếng lừng lẫy. Số nhiều gọi là cự vạn 巨萬. ② Há, cùng nghĩa với chữ 詎.
巧	[xảo] ① Khéo. ② Tươi, như xảo tiếu 巧笑 cười tươi. ③ Dối giả, như xảo ngôn 巧言 nói dối giả. ④ Vừa hay, như thấu xảo 湊巧 không hẹn mà gặp. ⑤ Tục quen cứ đến ngày 7 tháng 7 làm cỗ bàn cầu cúng hai ngôi sao Khiên-ngưu Chức-nữ để xin ban tài khéo cho đàn bà con gái gọi là khất xảo 乞巧. Tục gọi tháng 7 là xảo nguyệt 巧月 là bởi đó.
左	[tả, tá] ① Bên trái, phàm cái gì ở bên tay trái đều gọi là tả. Như hư tả dĩ đãi 虛左以待 để chừa bên trái xe để đợi người đến, ý nói cần dùng lắm. ② Phía đông. Cách định phương hướng cho phương đông là bên tay trái, nên sơn đông 山東 gọi là sơn tả 山左, giang đông 江東 gọi là giang tả 江左, v.v. ③ Bất tiện, như tả kế 左計 kế không hay, hai bên không hợp nhau gọi là tương tả 相左. ④ Không được chính đính, như tả đạo hoặc chúng 左道惑眾 đạo dối lừa chúng. ⑤ Giáng xuống, quan bị giáng chức gọi là tả thiên 左遷. ⑥ Một âm là tá. Giúp, cũng như chữ tá 佐. ⑦ Tiếng nói khiêm trong thư từ, như dĩ ngu tá hữu 以娛左右 nghĩa là chỉ để làm vui cho người hầu hạ, chứ không dám nói ngay đến người mình nói vậy. ⑧ Chứng nghiệm, như chứng tá 證左 người làm chứng.
尼	[ni, nệ, nặc, nật] ① Ni khâu 尼丘 núi Ni-khâu, đức Khổng-mẫu (Nhan thị) cầu nguyện ở núi ấy sinh ra đức Khổng-tử, nên mới đặt tên ngài là Khâu. ② Sư nữ, tiếng Phạm là tỉ khiêu ni nghĩa là vị sư nữ đã thụ giới cụ túc (400 điều giới), tục gọi là ni cô. ③ Một âm là nệ. Ngăn cản, như nệ kì hành 尼其行 ngăn không cho đi lên, có nơi đọc là nặc. ④ Lại một âm là nật. Thân gần. Cũng như chữ 昵.
尻	[khào, cừu] ① Xương cùng đít. Ta quen đọc là chữ cừu.
尒	[nhĩ] ① Nguyên là chữ nhĩ 爾.
宄	[quỹ] ① Gian, trộm cướp khởi ở trong ra gọi là gian 姦, khởi ở ngoài vào gọi là quĩ 宄.
它	[tha, xà] ① Ðời xưa dùng như chữ đà 佗 không phải, khác. ② Ngày xưa dùng như chữ xà 蛇. Ðời thượng cổ ở hang ở tổ, hay bị rắn cắn, nên hỏi thăm nhau đều hỏi vô xà hồ 無它乎 nghĩa là không việc gì chứ?
宂	[nhũng] ① Tản mạt, như nhũng viên 宂員 chức quan nhàn rỗi vô sự, chức quan thừa, nhũng phí 宂費 phí nhảm, đều là cái nghĩa thừa không ích gì cả. ② Vội vàng, như phiền nhũng 煩宂, nhũng tạp 宂雜 đều là cái ý nói vì việc lặt vặt làm bận vậy. Gác bỏ mọi sự gọi là bát nhũng 撥宂. ③ Dân không có chỗ ở yên. ④ Hèn kém.
宁	[trữ] ① Giữa khoảng cái bình phong với cửa.
字	[tự] ① Văn tự, bắt chước hình trạng từng loài mà đặt gọi là văn 文, hình tiếng cùng họp lại với nhau gọi là tự 字. ② Tên tự, kinh lễ định con trai hai mươi tuổi làm lễ đội mũ rồi mới đặt tên. Như con đức Khổng-tử tên là Lí 鯉, tên tự là Bá-ngư 伯魚. Con gái nhận lời gả chồng mới cài trâm và đặt tên tự, cho nên nhận lời gả chồng cũng gọi là tự nhân 字人. ③ Sinh sản, người ta sinh con gọi là tự. Chữ tự ở trong văn tự cũng là noi ở nghĩa ấy mà ra, ý nói nẩy nở ra nhiều vậy. ④ Yêu, phủ tự 撫字 vỗ về nuôi nấng.
孕	[dựng] ① Chửa (có mang, có thai).
奶	[nãi] ① Tiếng gọi chung của đàn bà. ② Tục gọi sữa là nãi.
奴	[nô] ① Ðứa ở. Luật ngày xưa người nào có tội thì bắt con gái người ấy vào hầu hạ nhà quan gọi là nô tì 奴婢, về sau kẻ nào nghèo khó bán mình cho người, mà nương theo về họ người ta cũng gọi là nô. ② Tiếng nói nhún mình của con gái.
夲	[bổn] ① Vốn là chữ thao, nghĩa là tiến thủ. Tục mượn dùng làm chữ bổn.
失	[thất] ① Mất. ② Lỗi. ③ Bỏ qua. ④ Có khi dùng như chữ dật 佚.
央	[ương] ① Ở giữa. ② Nửa, như dạ vị ương 夜未央 đêm chưa quá nửa đêm. ③ Cầu cạnh, như ương nhân tác bảo 央人作保 cầu cạnh người làm bầu chủ. ④ Ương ương 央央 rờ rỡ.
外	[ngoại] ① Ngoài, phàm cái gì ở bề ngoài đều gọi là ngoại, không phải ở trong phạm mình cũng gọi là ngoại, như ngoại mạo 外貌 mặt ngoài, ngoại vũ 外侮 kẻ ngoài khinh nhờn, v.v. Về bên họ mẹ cũng gọi là ngoại. ② Vợ gọi chồng cũng là ngoại tử 外子, vì con trai làm việc ở ngoài, con gái ở trong nên gọi là ngoại. ③ Con sơ không coi thân thưa gọi là kiến ngoại 見外. ④ Ðóng vai đàn ông (trong tuồng Tàu).
