mucopolysaccharide	mucopolysaccharides
oratorio	oratorios
oratorize	oratorized|oratorizes|oratorizing
oratory	oratories
oratress	oratresses
orb	orbed|orbing|orbs
orbiculate	orbiculates
orbiter	orbiters
orbitotomy	orbitotomies
orc	orcs
orchard	orchards
orchardist	orchardists
orchestral	orchestrals
orchestrate	orchestrating|orchestrated|orchestrates
orchestrina	orchestrinas
orchestrion	orchestrions
orchid	orchids
orchidectomy	orchidectomies
orchidist	orchidists
orchidologist	orchidologists
orchidopexy	orchidopexies
orchis	orchises
ordain	ordains|ordaining|ordained
ordeal	ordeals
orderer	orderers
orderly	orderlies
ordinale	ordinales
ordinance	ordinances
ordinand	ordinands
ordinary	ordinaries
ordinate	ordinates|ordinating|ordinated
ordinee	ordinees
oreologist	oreologists
orexigenic	orexigenics
orfray	orfrays
organ	organs|organing|organed
organdie	organdies
organelle	organelles
organic	organics
organise	organising|organises|organised
organism	organisms
organist	organists
organize	organizes|organized|organizing
organizer	organizers
organogen	organogens
organoid	organoids
organometallic	organometallics
organon	organons
organosol	organosols
organotropism	organotropisms
organotypic	organotypics
organule	organules
orgeat	orgeats
orgy	orgies
oricycle	oricycles
oriel	oriels
orient	oriented|orienting|orients
oriental	orientals
orientalise	orientalising|orientalises|orientalised
orientalist	orientalists
orientalize	orientalizing|orientalized|orientalizes
orientate	orientated|orientates|orientating
orifice	orifices
oriflamme	oriflammes
origanum	origanums
origin	origins
original	originals
originate	originating|originated|originates
originator	originators
oriole	orioles
orison	orisons
orle	orles
orlop	orlops
ormer	ormers
ormolu	ormoluing|ormolus|ormolued
ornamental	ornamentals
ornamentalist	ornamentalists
ornamenter	ornamenters
ornate	ornates|ornated|ornating
ornery	ornerier|orneriest
ornitholite	ornitholites
ornithologist	ornithologists
ornithopod	ornithopods
ornithopter	ornithopters
ornithorhynchus	ornithorhynchuses
orogen	orogens
orograph	orographs
orologist	orologists
orometer	orometers
oropharyngeal	oropharyngeals
orphan	orphaned|orphans|orphaning
orphanhood	orphanhoods
orphanize	orphanizing|orphanizes|orphanized
orphrey	orphreys
orpine	orpines
orrery	orreries
ort	orts|orting|orted
orthicon	orthicons
orthocentre	orthocentres
orthocomplement	orthocomplements
orthodontist	orthodontists
orthoepist	orthoepists
orthogonal	orthogonals
orthogonalize	orthogonalizing|orthogonalizes|orthogonalized
orthograph	orthographs
orthographer	orthographers
orthographist	orthographists
orthography	orthographied|orthographying|orthographies
orthohydrogen	orthohydrogens
orthomorphism	orthomorphisms
orthopaedist	orthopaedists
orthopedist	orthopedists
orthophosphate	orthophosphates
orthopinacoid	orthopinacoids
orthoptera	orthopteras
orthopteran	orthopterans
orthopterist	orthopterists
orthopteroid	orthopteroids
orthoptic	orthoptics
orthoscope	orthoscopes
orthostichy	orthostichies
ortolan	ortolans
osar	osars
oscar	oscars
oscheocele	oscheoceles
oscillate	oscillating|oscillates|oscillated
oscillogram	oscillograms
oscillograph	oscillographs
oscillometer	oscillometers
oscilloscope	oscilloscopes
oscitancy	oscitancies
oscitation	oscitations
osculate	osculated|osculates|osculating
osculatory	osculatories
oscule	oscules
osier	osiers
osmolality	osmolalities
osmolarity	osmolarities
osmole	osmoles
osmometer	osmometers
osmophore	osmophores
osmoregulator	osmoregulators
osmoscope	osmoscopes
osmose	osmosing|osmosed|osmoses
osprey	ospreys
ossature	ossatures
ossicle	ossicles
ossiculectomy	ossiculectomies
ossifrage	ossifrages
ossify	ossified|ossifying|ossifies
ossuary	ossuaries
ostectomy	ostectomies
ostensory	ostensories
osteoarthritic	osteoarthritics
osteoblast	osteoblasts
osteoclast	osteoclasts
osteocope	osteocopes
osteocyte	osteocytes
osteodystrophia	osteodystrophias
osteolite	osteolites
osteopath	osteopaths
osteophyte	osteophytes
osteoplast	osteoplasts
osteoplasty	osteoplasties
osteotome	osteotomes
osteotomy	osteotomies
ostiary	ostiaries
ostiole	ostioles
ostler	ostlers
ostomy	ostomies
ostracean	ostraceans
ostracise	ostracises|ostracised|ostracising
ostracize	ostracizes|ostracized|ostracizing
ostracode	ostracodes
ostracoderm	ostracoderms
ostreiculturist	ostreiculturists
ostrich	ostriches
otalgic	otalgics
otary	otaries
otectomy	otectomies
other	others|othering|othered
otocyst	otocysts
otolith	otoliths
otologist	otologists
otoplasty	otoplasties
otorhinolaryngologist	otorhinolaryngologists
otoscope	otoscopes
otoscopy	otoscopies
otosteal	otosteals
otter	otters
ou	ous
oubliette	oubliettes
ouch	ouches
ought	oughts
ounce	ounces
ouphe	ouphes
our	ours
ousel	ousels
ouster	ousters|oustered|oustering
out	outed|outing|outs
outage	outages
outbalance	outbalanced|outbalancing|outbalances
outbar	outbarred|outbars|outbarring
outbid	outbidding|outbids
outblaze	outblazing|outblazes|outblazed
outboard	outboards
outbound	outbounds
outbox	outboxing|outboxes|outboxed
outbrag	outbragged|outbragging|outbrags
outbranch	outbranches|outbranched|outbranching
outbrave	outbraving|outbraves|outbraved
outbreak	outbroke|outbreaking|outbroken|outbreaks
outbreaking	outbreakings
outbreed	outbreeding|outbred|outbreeds
outbuild	outbuilds|outbuilding|outbuilt
outbuilding	outbuildings
outburst	outbursts|outbursting
outcast	outcasting|outcasts
outcaste	outcasting|outcastes|outcasted
outclass	outclasses|outclassing|outclassed
outcome	outcomes
outcrop	outcropping|outcropped|outcrops
outcropping	outcroppings
outcross	outcrosses|outcrossed|outcrossing
outcrossing	outcrossings
outcry	outcried|outcrying|outcries
outdance	outdanced|outdancing|outdances
outdare	outdaring|outdared|outdares
outdate	outdates|outdating|outdated
outdistance	outdistancing|outdistances|outdistanced
outdo	outdoing|outdone|outdid|outdoes
outdoorsy	outdoorsier|outdoorsiest
outdraw	outdraws|outdrew|outdrawing|outdrawn
outdream	outdreams|outdreaming|outdreamed
outdrink	outdrunk|outdrank|outdrinking|outdrinks
outdwell	outdwelling|outdwells|outdwelt
outdweller	outdwellers
outeat	outeaten|outate|outeats|outeating
outer	outers
outermost	outermosts
outface	outfacing|outfaces|outfaced
outfall	outfallen|outfalling|outfalls|outfell
outfield	outfields|outfielded|outfielding
outfielder	outfielders
outfight	outfighting|outfought|outfights
outfit	outfitting|outfits|outfitted
outfitter	outfitters
outfitting	outfittings
outflash	outflashes|outflashed|outflashing
outflow	outflowed|outflowing|outflows
outfly	outflown|outflies|outflying|outflew
outfox	outfoxing|outfoxes|outfoxed
outgas	outgassing|outgases|outgassed
outgate	outgates
outgaze	outgazed|outgazes|outgazing
outgeneral	outgenerals|outgeneralled|outgeneralling
outgiving	outgivings
outgo	outgoing|outgoes|outwent|outgone
outgoing	outgoings
outgrow	outgrown|outgrows|outgrew|outgrowing
outguard	outguards
outguess	outguessing|outguesses|outguessed
outgun	outgunning|outgunned|outguns
outgush	outgushed|outgushing|outgushes
outhouse	outhouses
outjuggle	outjuggled|outjuggles|outjuggling
outland	outlanded|outlands|outlanding
outlander	outlanders
outlaw	outlaws|outlawing|outlawed
outlay	outlays|outlaying|outlaid
outleap	outleapt|outleaping|outleaps
outlearn	outlearning|outlearns|outlearned
outlet	outlets
outlie	outlying|outlies|outlied
outlier	outliers
outline	outlines|outlined|outlining
outlive	outlived|outlives|outliving
outlodging	outlodgings
outlook	outlooks|outlooking|outlooked
outlustre	outlustred|outlustring|outlustres
outlying	outlyings
outman	outmanned|outmanning|outmans
outmanoeuvre	outmanoeuvring|outmanoeuvres|outmanoeuvred
outmarch	outmarched|outmarches|outmarching
outmatch	outmatching|outmatched|outmatches
outmeasure	outmeasures|outmeasured|outmeasuring
outmost	outmosts
outname	outnaming|outnamed|outnames
outpace	outpacing|outpaces|outpaced
outparish	outparishes
outpart	outparts
outpass	outpassing|outpasses|outpassed
outpatient	outpatients
outpension	outpensions
outperform	outperformed|outperforms|outperforming
outport	outports
outpost	outposts
outpour	outpouring|outpours|outpoured
outpouring	outpourings
output	outputs|outputting
outrage	outrages|outraged|outraging
outrageousness	outrageousnesses
outrange	outranging|outranged|outranges
outreach	outreaching|outreaches|outreached
outremer	outremers
outride	outridden|outrode|outrides|outriding
outrider	outriders
outring	outrings|outrang|outringing|outrung
outrival	outrivalling|outrivals|outrivalled
outroar	outroaring|outroars|outroared
outrode	outrodes
outrun	outran|outruns|outrunning
outrunner	outrunners
outrush	outrushed|outrushes|outrushing
outsell	outselling|outsold|outsells
outset	outsets|outsetting
outsetting	outsettings
outsettlement	outsettlements
outsettler	outsettlers
outshine	outshone|outshining|outshines
outshoot	outshot|outshoots|outshooting
outshop	outshopped|outshopping|outshops
outshot	outshots
outshout	outshouts|outshouted|outshouting
outside	outsides
outsider	outsiders
outsing	outsang|outsung|outsings|outsinging
outsit	outsits|outsat|outsitting
outsize	outsized|outsizes|outsizing
outsleep	outsleeping|outslept|outsleeps
outsole	outsoles
outspan	outspanning|outspans|outspanned
outsparkle	outsparkling|outsparkles|outsparkled
outspeak	outspeaks|outspoke|outspoken|outspeaking
outspeed	outspeeds|outspeeding|outsped
outspend	outspent|outspending|outspends
outspread	outspreads|outspreading
outstand	outstanding|outstood|outstands
outstare	outstaring|outstares|outstared
outstep	outsteps|outstepping|outstepped
outstretch	outstretches|outstretched|outstretching
outstrip	outstripped|outstrips|outstripping
outstroke	outstrokes
outswear	outswears|outswore|outswearing|outsworn
outswim	outswum|outswimming|outswims|outswam
outtake	outtook|outtaken|outtaking|outtakes
outthink	outthinking|outthinks|outthought
outthrow	outthrows|outthrowing|outthrew|outthrown
outtravel	outtraveling|outtraveled|outtravels
outturn	outturned|outturns|outturning
outvalue	outvalued|outvaluing|outvalues
outvie	outvies|outvying|outvied
outvoice	outvoiced|outvoices|outvoicing
outvote	outvoting|outvotes|outvoted
outvoter	outvoters
outward	outwarded|outwarding|outwards
outwash	outwashes
outwatch	outwatching|outwatches|outwatched
outwear	outwears|outwore|outwearing|outworn
outweep	outwept|outweeps|outweeping
outwind	outwinding|outwinds|outwound
outwit	outwits|outwitting|outwitted
outworker	outworkers
outworking	outworkings
outworld	outworlds
ouzel	ouzels
oval	ovals
ovalbumin	ovalbumins
ovalize	ovalizing|ovalizes|ovalized
ovariectomy	ovariectomies
ovariohysterectomy	ovariohysterectomies
ovariole	ovarioles
ovariosalpingectomy	ovariosalpingectomies
ovariotomy	ovariotomies
ovary	ovaries
ovate	ovates
ovation	ovationed|ovationing|ovations
oven	ovens
over	overing|overs|overed
overaccentuate	overaccentuated|overaccentuating|overaccentuates
overage	overages|overaged|overaging
overanalyse	overanalysed|overanalysing|overanalyses
overarch	overarching|overarched|overarches
overarm	overarming|overarms|overarmed
overawe	overawes|overawing|overawed
overbalance	overbalances|overbalancing|overbalanced
overbear	overborne|overbore|overbearing|overbears
overbid	overbidding|overbids
overbite	overbites|overbiting|overbitten|overbit
overblouse	overblouses
overblow	overblew|overblowing|overblown|overblows
overbore	overbored|overbores|overboring
overbreak	overbroken|overbroke|overbreaks|overbreaking
overbridge	overbridging|overbridges|overbridged
overbrim	overbrimmed|overbrimming|overbrims
overbuild	overbuilding|overbuilt|overbuilds
overburden	overburdening|overburdened|overburdens
overbusy	overbusies|overbusied|overbusying
overbuy	overbuys|overbought|overbuying
overcall	overcalled|overcalls|overcalling
overcanopy	overcanopied|overcanopies|overcanopying
overcapacity	overcapacities
overcapitalize	overcapitalizing|overcapitalizes|overcapitalized
overcare	overcaring|overcared|overcares
overcarry	overcarries|overcarried|overcarrying
overcast	overcasting|overcasts
overcasting	overcastings
overcharge	overcharging|overcharged|overcharges
overcharging	overchargings
overcoat	overcoating|overcoated|overcoats
overcolour	overcolours|overcoloured|overcolouring
overcome	overcoming|overcomes|overcame
overcompensate	overcompensated|overcompensating|overcompensates
overcount	overcounted|overcounting|overcounts
overcrop	overcrops|overcropping|overcropped
overcross	overcrosses|overcrossing|overcrossed
overcure	overcures|overcuring|overcured
overdo	overdoing|overdoes|overdone|overdid
overdoor	overdoors
overdosage	overdosages
overdose	overdosing|overdosed|overdoses
overdraw	overdrawn|overdrawing|overdrew|overdraws
overdress	overdressing|overdressed|overdresses
overdrink	overdrinking|overdrinks|overdrank|overdrunk
overdrive	overdrove|overdriving|overdriven|overdrives
overdry	overdries|overdrying|overdried
overdub	overdubbing|overdubs|overdubbed
overdye	overdyed|overdyeing|overdyes
overeat	overeaten|overeating|overeats|overate
overelaborate	overelaborated|overelaborates|overelaborating
overemphasize	overemphasized|overemphasizes|overemphasizing
overestimate	overestimated|overestimating|overestimates
overexcite	overexcited|overexcites|overexciting
overexpenditure	overexpenditures
overexpose	overexposes|overexposing|overexposed
overfall	overfell|overfallen|overfalling|overfalls
overfatigue	overfatigued|overfatigues|overfatiguing
overfeed	overfeeds|overfed|overfeeding
overfill	overfills|overfilled|overfilling
overfire	overfiring|overfires|overfired
overfish	overfishing|overfished|overfishes
overflight	overflights
overflow	overflowing|overflows|overflowed
overflowing	overflowings
overfly	overflies|overflew|overflown|overflying
overfold	overfolding|overfolded|overfolds
overfreight	overfreighting|overfreights|overfraught|overfreighted
overfulfil	overfulfilling|overfulfils|overfulfilled
overfull	overfulls
overgarment	overgarments
overgaze	overgazing|overgazes|overgazed
overgild	overgilded|overgilding|overgilds
overglance	overglances|overglanced|overglancing
overgo	overwent|overgoes|overgoing|overgone
overgraze	overgrazed|overgrazes|overgrazing
overgrow	overgrown|overgrowing|overgrew|overgrows
overhand	overhands
overhang	overhanging|overhangs|overhung
overhanging	overhangings
overhaul	overhauling|overhauls|overhauled
overhauling	overhaulings
overhear	overheard|overhears|overhearing
overheat	overheating|overheats|overheated
overheating	overheatings
overissue	overissued|overissues|overissuing
overjet	overjets
overking	overkings
overlade	overlading|overlades|overladed
overland	overlands|overlanded|overlanding
overlap	overlapping|overlaps|overlapped
overlapping	overlappings
overlay	overlaying|overlays|overlaid
overlaying	overlayings
overleap	overleaped|overleaping|overleaps
overlie	overlying|overlies|overlain|overlay
overlive	overlived|overliving|overlives
overload	overloads|overloading|overloaded
overlook	overlooking|overlooks|overlooked
overlooker	overlookers
overlord	overlording|overlords|overlorded
overlove	overloved|overloving|overloves
overman	overmanning|overmen|overmans|overmanned
overmantel	overmantels
overmatch	overmatching|overmatches|overmatched
overmeasure	overmeasures|overmeasured|overmeasuring
overmind	overminds
overmount	overmounting|overmounts|overmounted
overnight	overnighted|overnighting|overnights
overoptimist	overoptimists
overorganize	overorganizes|overorganizing|overorganized
overpass	overpassed|overpasses|overpassing
overpay	overpaid|overpays|overpaying
overpayment	overpayments
overpersuade	overpersuades|overpersuaded|overpersuading
overpicture	overpicturing|overpictures|overpictured
overpitch	overpitching|overpitched|overpitches
overpoise	overpoising|overpoised|overpoises
overpot	overpots|overpotting|overpotted
overpotential	overpotentials
overpraise	overpraises|overpraising|overpraised
overpress	overpressing|overpresses|overpressed
overpressure	overpressuring|overpressures|overpressured
overprice	overpricing|overpriced|overprices
overprint	overprinted|overprints|overprinting
overproduce	overproducing|overproduces|overproduced
overpronounce	overpronounced|overpronouncing|overpronounces
overproof	overproofing|overproofed|overproofs
overpunch	overpunching|overpunches|overpunched
overrate	overrated|overrating|overrates
overreach	overreaches|overreached|overreaching
overread	overreads|overreading
overrefine	overrefines|overrefining|overrefined
overrev	overrevs|overrevved|overrevving
override	overridden|overrides|overriding|overrode
overriding	overridings
overring	overrings
overrule	overruling|overrules|overruled
overrun	overrunning|overran|overruns
oversale	oversales
oversaturate	oversaturated|oversaturates|oversaturating
oversee	overseen|oversaw|overseeing|oversees
overseer	overseers
oversell	overselling|oversells|oversold
overset	oversets|oversetting
oversew	oversewed|oversewing|oversewn|oversews
