A	As
altbacken	altbackenen|altbackenem|altbackene|altbackenes|altbackener
altbewährt	altbewährtem|altbewährten|altbewährter|altbewährte|altbewährtes
Altern	Alterns
altern	alternd|alter|alteret|altertet|alterest|altrest|altere|alterten|altret|alterte|altert|gealtert|alterst|altre|altertest
alternativ	alternativer|alternatives|alternativem|alternativen|alternative
Alternative	Alternativen
Alterserscheinung	Alterserscheinungen
Altersgruppe	Altersgruppen
Altersunterschied	Altersunterschieds|Altersunterschieden|Altersunterschiede|Altersunterschiedes
Altertum	Altertums
altertümlich	altertümliche|altertümlicher|altertümlichem|altertümlichen|altertümliches
Altmaterial	Altmaterials|Altmaterialien
altmodisch	altmodisches|altmodischen|altmodische|altmodischer|altmodischem
Altstimme	Altstimmen
Altweibersommer	Altweibersommers|Altweibersommern
Aluminium	Aluminiums
Amalgam	Amalgams|Amalgamen|Amalgame
Amateur	Amateuren|Amateurs|Amateure
Amateurfunk	Amateurfunks
ambitioniert	ambitionierter|ambitionierte|ambitioniertes|ambitioniertem|ambitionierten
ambivalent	ambivalentes|ambivalente|ambivalentem|ambivalenter|ambivalenten
Ambulanz	Ambulanzen
Ameise	Ameisen
Ameisenbär	Ameisenbären
Ameisenhaufen	Ameisenhaufens
Americium	Americiums
Amerikaner	Amerikaners|Amerikanern
amharisch	amharischer|amharischen|amharische|amharischem|amharisches
Amme	Ammen
Ammoniak	Ammoniaks
Ammonium	Ammoniums
Amok	Amoks
Amoklauf	Amoklaufe|Amokläufe|Amokläufen|Amoklaufs|Amoklaufes
Amokläufer	Amokläufern|Amokläufers
amortisieren	amortisier|amortisierend|amortisiertest|amortisiere|amortisieret|amortisierst|amortisiertet|amortisierte|amortisierten|amortisierest|amortisiert
Ampel	Ampeln
Amplitudenmodulation	Amplitudenmodulationen
Ampulle	Ampullen
Amputation	Amputationen
amputieren	amputierte|amputier|amputiertest|amputiertet|amputieret|amputiert|amputierten|amputierst|amputierend|amputiere|amputierest
Amsel	Amseln
Amt	Amtes|Ämtern|Ämter|Amte|Amts
amtieren	amtiere|amtieret|amtierest|amtierten|amtier|amtiertet|amtiertest|amtierend|amtierst|amtiert|amtierte
amtlich	amtlichem|amtlichen|amtliche|amtlicher|amtliches
Amtsantritt	Amtsantrittes|Amtsantritte|Amtsantritten|Amtsantritts
Amtseid	Amtseids|Amtseides|Amtseide|Amtseiden
Amtsgericht	Amtsgerichtes|Amtsgerichten|Amtsgerichts|Amtsgerichte
Amtsinhaber	Amtsinhabers|Amtsinhabern
Amtssprache	Amtssprachen
Amtsträger	Amtsträgers|Amtsträgern
Amulett	Amuletts|Amulette|Amulettes|Amuletten
Amöbe	Amöben
amüsant	amüsantes|amüsanten|amüsantem|amüsanter|amüsante
Anachronismus	Anachronismen
anachronistisch	anachronistische|anachronistischem|anachronistischen|anachronistisches|anachronistischer
Analphabet	Analphabeten
Analyse	Analysen
analysieren	analysierst|analysiertest|analysieret|analysiere|analysier|analysierest|analysiertet|analysierten|analysierte|analysierend|analysiert
analytisch	analytischen|analytisches|analytischem|analytischer|analytische
Ananas	Ananassen|Ananasse
Anarchie	Anarchien
anarchisch	anarchischen|anarchische|anarchischer|anarchisches|anarchischem
Anarchist	Anarchisten
anarchistisch	anarchistischen|anarchistische|anarchistischem|anarchistischer|anarchistisches
anbaggern	anbaggernd|angebaggert|anzubaggern
anbahnen	anbahnend|angebahnt|anzubahnen
Anbahnung	Anbahnungen
anbauen	angebaut|anzubauen|anbauend
anbehalten	anzubehalten|anbehaltend
Anbeißen	Anbeißens
anbeißen	angebissen|anbeißend|anzubeißen
anbellen	angebellt|anbellend|anzubellen
anbeten	anzubeten|angebetet|anbetend
Anbeter	Anbeters|Anbetern
Anbeterin	Anbeterinnen
Anbetung	Anbetungen
anbieten	anzubieten|angeboten|anbietend
Anbieter	Anbietern|Anbieters
anbinden	anzubinden|anbindend|angebunden
anblicken	anblickend|angeblickt|anzublicken
anbraten	anbratend|anzubraten|angebraten
anbrennen	angebrannt|anbrennend|anzubrennen
anbringen	angebracht|anzubringen|anbringend
anbändeln	anbändelnd|angebändelt|anzubändeln
andauern	anzudauern|angedauert|andauernd
andeuten	andeutend|angedeutet|anzudeuten
Andeutung	Andeutungen
androhen	angedroht|anzudrohen|androhend
Android	Androiden
andächtig	andächtige|andächtigen|andächtiges|andächtigem|andächtiger
anecken	angeecktt|aneckend|anzuecken
Aneignen	Aneignens
aneignen	aneignend|angeeignet|anzueignen
Aneignung	Aneignungen
Anekdote	Anekdoten
anekdotisch	anekdotischem|anekdotische|anekdotischen|anekdotisches|anekdotischer
Anerbieten	Anerbietens
anerkennen	anerkennend|anzuerkennen|anerkannt
anfachen	anfachend|angefacht|anzufachen
Anfall	Anfälle|Anfalls|Anfällen
anfallen	anzufallen|angefallen|anfallend
Anfang	Anfangs|Anfange|Anfängen|Anfänge|Anfanges
Anfangsbuchstabe	Anfangsbuchstabens|Anfangsbuchstaben
anfassen	anfassend|anzufassen|angefasst
anfechten	anzufechten|angefochten|anfechtend
Anfechtung	Anfechtungen
Anfeindung	Anfeindungen
anfertigen	anfertigend|anzufertigen|angefertigt
anfeuern	anzufeuern|anfeuernd|angefeuert
anflehen	angefleht|anflehend|anzuflehen
Anflug	Anfluge|Anflügen|Anfluges|Anflugs|Anflüge
anfordern	angefordert|anfordernd|anzufordern
Anforderung	Anforderungen
anfreunden	anzufreunden|angefreundet|anfreundend
anfällig	anfällige|anfälligem|anfälligen|anfälliges|anfälliger
Anfänger	Anfängern|Anfängers
Anfängerin	Anfängerinnen
anfügen	anfügend|angefügt|anzufügen
anführen	anzuführen|angeführt|anführend
Anführer	Anführers|Anführern
Anführungszeichen	Anführungszeichens
anfüllen	anzufüllen|anfüllend|angefüllt
Angeben	Angebens
angeben	angegeben|anzugeben|angebend
Angeber	Angebern|Angebers
angeberisch	angeberischer|angeberisches|angeberischem|angeberischen|angeberische
Angebot	Angebote|Angebots|Angeboten|Angebotes
angebracht	angebrachten|angebrachtes|angebrachte|angebrachter|angebrachtem
angehen	anzugehen|angegangen|angehend
angehören	angehörend|angehört|anzugehören
Angel	Angeln
angelangen	angelangt|angelangend|anzugelangen
Angelegenheit	Angelegenheiten
Angelhaken	Angelhakens
Angelleine	Angelleinen
Angeln	Angelns
angeln	geangelt|angele|angle|angelst|angelte|angelest|angel|angelt|anglest|angeltet|anglet|angelet|angelnd|angeltest|angelten
Angelpunkt	Angelpunkten|Angelpunkts|Angelpunktes|Angelpunkte
Angelrute	Angelruten
Angelsachse	Angelsachsen
angelsächsisch	angelsächsisches|angelsächsischer|angelsächsischen|angelsächsische|angelsächsischem
angemessen	angemessenen|angemessene|angemessener|angemessenes|angemessenem
angenehm	angenehmem|angenehmen|angenehme|angenehmer|angenehmes
angeregt	angeregter|angeregte|angeregten|angeregtem|angeregtes
angeschlagen	angeschlagenes|angeschlagener|angeschlagenem|angeschlagenen|angeschlagene
angesehen	angesehene|angesehenen|angesehenes|angesehenem|angesehener
Angesicht	Angesichts|Angesichtern|Angesichter
Angewohnheit	Angewohnheiten
angleichen	anzugleichen|angeglichen|angleichend
Angleichung	Angleichungen
Angler	Anglern|Anglers
angliedern	angliedernd|angegliedert|anzugliedern
Angreifen	Angreifens
Angreifer	Angreifern|Angreifers
Angriff	Angriffe|Angriffs|Angriffen|Angriffes
angriffslustig	angriffslustige|angriffslustiger|angriffslustigem|angriffslustiges|angriffslustigen
Angsthase	Angsthasen
Angstschweiß	Angstschweißes|Angstschweiße|Angstschweißen
anhaben	anhabend|angehabt|anzuhaben
Anhalten	Anhaltens
anhalten	angehalten|anzuhalten|anhaltend
Anhalter	Anhaltern|Anhalters
Anhaltspunkt	Anhaltspunktes|Anhaltspunkts|Anhaltspunkte|Anhaltspunkten
Anhang	Anhangs|Anhänge|Anhängen
anhauchen	anhauchend|angehaucht|anzuhauchen
Anheben	Anhebens
anheben	angehoben|anzuheben|anhebend
anheften	angeheftet|anzuheften|anheftend
anheimelnd	anheimelnden|anheimelnder|anheimelndes|anheimelndem|anheimelnde
anheuern	angeheuert|anheuernd|anzuheuern
Anhieb	Anhiebes|Anhiebe|Anhieben|Anhiebs
anhängen	angehangen|anhängend|anzuhängen
Anhänger	Anhängern|Anhängers
Anhängerin	Anhängerinnen
anhänglich	anhängliche|anhängliches|anhänglichem|anhänglichen|anhänglicher
Anhängsel	Anhängsels|Anhängseln
anhäufen	angehäuft|anhäufend|anzuhäufen
Anhäufung	Anhäufungen
Anhöhe	Anhöhen
Anhören	Anhörens
anhören	anhörend|angehört|anzuhören
Anhörung	Anhörungen
Animation	Animationen
Anissamen	Anissamens
Anker	Ankern|Ankers
Ankerplatz	Ankerplatze|Ankerplatzes|Ankerplätze|Ankerplätzen
anketten	angekettet|ankettend|anzuketten
Anklagen	Anklagens
anklagen	anzuklagen|anklagend|angeklagt
Anklang	Anklangs|Anklänge|Anklanges|Anklängen|Anklange
ankleiden	anzukleiden|ankleidend|angekleidet
anklopfen	anklopfend|angeklopft|anzuklopfen
Ankläger	Anklägers|Anklägern
ankreiden	ankreidend|anzukreiden|angekreidet
Ankunftszeit	Ankunftszeiten
ankurbeln	ankurbelnd|anzukurbeln|angekurbelt
Ankurbelung	Ankurbelungen
ankämpfen	ankämpfend|anzukämpfen|angekämpft
Ankömmling	Ankömmlings|Ankömmlinge|Ankömmlingen
ankündigen	angekündigt|ankündigend|anzukündigen
Ankündigung	Ankündigungen
Anlage	Anlagen
Anlagenbau	Anlagenbauten|Anlagenbaues|Anlagenbaue|Anlagenbaus
anlassen	anzulassen|anlassend|angelassen
Anlauf	Anlaufes|Anlaufe|Anläufe|Anlaufs|Anläufen
Anlaufen	Anlaufens
anlaufen	angelaufen|anlaufend|anzulaufen
Anlaut	Anlautes|Anlauten|Anlaute|Anlauts
Anlegen	Anlegens
anlegen	angelegt|anzulegen|anlegend
Anleger	Anlegers|Anlegern
anlehnen	anlehnend|anzulehnen|angelehnt
Anleihe	Anleihen
anleiten	anleitend|anzuleiten|angeleitet
Anleitung	Anleitungen
Anliegen	Anliegens
anliegen	anzuliegen|anlegen|anliegend
anlächeln	anlächelnd|anzulächeln|angelächelt
anlügen	angelogen|anzulügen|anlügend
anmachen	anzumachen|anmachend|angemacht
anmaßen	anmaßend|angemaßt|anzumaßen
anmaßend	anmaßendes|anmaßender|anmaßendem|anmaßenden|anmaßende
Anmaßung	Anmaßungen
Anmeldung	Anmeldungen
anmutig	anmutiger|anmutigen|anmutiges|anmutigem|anmutige
Annahme	Annahmen
annehmbar	annehmbarer|annehmbare|annehmbares|annehmbarem|annehmbaren
Annehmlichkeit	Annehmlichkeiten
annektieren	annektier|annektierte|annektierend|annektierst|annektierten|annektiertest|annektiert|annektieret|annektiere|annektiertet|annektierest
annullieren	annullierest|annulliertest|annulliert|annullierst|annullierte|annullieret|annullierten|annulliertet|annulliere|annullier|annullierend
Annullierung	Annullierungen
annähern	annähernd|anzunähern|angenähert
Annäherung	Annäherungen
anomal	anomale|anomaler|anomalem|anomalen|anomales
Anordnen	Anordnens
anordnen	anzuordnen|angeordnet|anordnend
anpassen	anpassend|angepasst|anzupassen
anpassungsfähig	anpassungsfähiger|anpassungsfähiges|anpassungsfähigem|anpassungsfähigen|anpassungsfähige
anprangern	angeprangert|anprangernd|anzuprangern
anpreisen	angepriesen|anpreisend|anzupreisen
Anprobe	Anproben
anprobieren	anprobierend|anprobiert|anzuprobieren
anpöbeln	angepöbelt|anpöbelnd|anzupöbeln
Anrecht	Anrechts|Anrechten|Anrechtes|Anrechte
Anrede	Anreden
anreden	anzureden|angeredet|anredend
anregen	angeregt|anzuregen|anregend
anregend	anregende|anregendes|anregenden|anregendem|anregender
Anregung	Anregungen
anreichern	anzureichern|angereichert|anreichernd
Anreiz	Anreizen|Anreizes|Anreize
Anrichte	Anrichten
anrichten	anzurichten|anrichtend|angerichtet
Anruf	Anrufes|Anrufen|Anrufe|Anrufs
Anrufbeantworter	Anrufbeantwortern|Anrufbeantworters
Anrufen	Anrufens
anrufen	angerufen|anzurufen|anrufend
Anrufer	Anrufern|Anrufers
anrüchig	anrüchiges|anrüchiger|anrüchigem|anrüchigen|anrüchige
Ansage	Ansagen
Ansammlung	Ansammlungen
Ansatz	Ansätzen|Ansatzes|Ansätze|Ansatze
anschaffen	anschaffend|anzuschaffen|angeschafft
anschalten	anzuschalten|angeschaltet|anschaltend
anschaulich	anschaulichem|anschauliche|anschaulicher|anschaulichen|anschauliches
Anschauung	Anschauungen
Anschein	Anscheines|Anscheins|Anscheine
anschicken	anzuschicken|anschickend|angeschickt
anschießen	anzuschießen|angeschossen|anschießend
anschlagen	anzuschlagen|anschlagend|angeschlagen
anschließen	anschließend|angeschlossen
anschmiegen	anschmiegend|angeschmiegt|anzuschmiegen
Anschnallgurt	Anschnallgurts|Anschnallgurten|Anschnallgurte
anschnauzen	anzuschnauzen|angeschnauzt|anschnauzend
anschrauben	anzuschrauben|angeschraubt|anschraubend
Anschreiben	Anschreibens
anschreiben	angeschrieben|anschreibend|anzuschreiben
Anschrift	Anschriften
Anschwellen	Anschwellens
anschwellen	anschwellend|angeschwollen|anzuschwellen
anschwärzen	anzuschwärzen|angeschwärzt|anschwärzend
Ansehen	Ansehens
ansehen	angesehen|anzusehen|ansehend
ansehnlich	ansehnliche|ansehnliches|ansehnlichem|ansehnlichen|ansehnlicher
ansetzen	angesetzt|anzusetzen|ansetzend
Ansichtskarte	Ansichtskarten
Ansichtssache	Ansichtssachen
ansiedeln	ansiedelnd|anzusiedeln|angesiedelt
anspeien	angespien|anzuspeien|anspeiend
anspielen	anzuspielen|anspielend|angespielt
Anspielung	Anspielungen
anspitzen	anzuspitzen|angespitzt|anspitzend
Anspitzer	Anspitzers|Anspitzern
Ansporn	Ansporns|Ansporne|Anspornes
anspornen	angespornt|anspornend|anzuspornen
Ansprache	Ansprachen
ansprechbar	ansprechbarem|ansprechbaren|ansprechbarer|ansprechbares|ansprechbare
anspruchslos	anspruchslose|anspruchslosen|anspruchsloses|anspruchslosem|anspruchsloser
anspruchsvoll	anspruchsvollem|anspruchsvolle|anspruchsvoller|anspruchsvolles|anspruchsvollen
anstacheln	anzustacheln|anstachelnd|angestachelt
Anstalt	Anstalten
Anstand	Anstande|Anstandes|Anstände|Anstands|Anständen
Anstandsdame	Anstandsdamen
Anstarren	Anstarrens
anstarren	anangestarrt|anzustarren|anstarrend
anstauen	anzustauen|angestaut|anstauend
anstecken	anzustecken|angesteckt|ansteckend
ansteckend	ansteckenden|ansteckender|ansteckendem|ansteckendes|ansteckende
Ansteckung	Ansteckungen
anstehen	angestanden|anzustehen|anstehend
Ansteigen	Ansteigens
ansteigen	anzusteigen|ansteigend|angestiegen
anstellen	anzustellen|anstellend|angestellt
anstellig	anstelligen|anstelliger|anstelligem|anstelliges|anstellige
Anstieg	Anstiege|Anstiegen|Anstieges|Anstiegs
anstiften	anstiftend|anzustiften|angegestiftet
Anstiftung	Anstiftungen
Anstoß	Anstoße|Anstoßes|Anstöße|Anstößen
anstoßen	anzustoßen|anstoßend|angestoßen
anstreben	anstrebend|anzustreben|angestrebt
anstrengend	anstrengende|anstrengendem|anstrengendes|anstrengender|anstrengenden
Anstrengung	Anstrengungen
Anstrich	Anstrichen|Anstrichs|Anstriche
Ansturm	Ansturmes|Anstürmen|Ansturme|Ansturms|Anstürme
anständig	anständigem|anständiger|anständigen|anständiges|anständige
anstößig	anstößigen|anstößiges|anstößiger|anstößige|anstößigem
Ansuchen	Ansuchens
ansuchen	angesucht|anzusuchen|ansuchend
Anteil	Anteils|Anteiles|Anteilen|Anteile
Antenne	Antennen
Anthrazit	Anthraziten|Anthrazite|Anthrazits
Anthropologe	Anthropologen
anthropologisch	anthropologischen|anthropologischem|anthropologische|anthropologisches|anthropologischer
Antialkoholiker	Antialkoholikern|Antialkoholikers
Antibiotikum	Antibiotikums|Antibiotika
Antiheld	Antihelden
antik	antiken|antikes|antikem|antiker|antike
Antikörper	Antikörpern|Antikörpers
Antilope	Antilopen
Antimon	Antimons
Antipode	Antipoden
Antippen	Antippens
antippen	antippend|angetippt|anzutippen
Antithese	Antithesen
Antlitz	Antlitzes|Antlitzen|Antlitze
Antonym	Antonyms|Antonymen|Antonyme
Antrag	Antrags|Anträge|Anträgen|Antrage|Antrages
Antragsteller	Antragstellern|Antragstellers
antreffen	anzutreffen|antreffend|angetroffen
antreiben	antreibend|anzutreiben|angetrieben
Antreten	Antretens
antreten	anzutreten|antretend|angetreten
Antriebssystem	Antriebssysteme|Antriebssystems|Antriebssystemen
Antritt	Antritts|Antritten|Antritte|Antrittes
Antwort	Antworten
Antworten	Antwortens
antworten	antwortest|geantwortet|antworte|antwortet|antwortetest|antwortetet|antworteten|antwortend|antwortete
Anwachsen	Anwachsens
anwachsen	anwachsend|anzuwachsen|angewachsen
Anwalt	Anwalts|Anwälte|Anwalte|Anwälten|Anwaltes
anweisen	anweisend|angewiesen|anzuweisen
Anweisung	Anweisungen
anwendbar	anwendbaren|anwendbares|anwendbarer|anwendbarem|anwendbare
Anwendbarkeit	Anwendbarkeiten
anwenden	anzuwenden|angewandt|anwendend|angewendet
Anwender	Anwendern|Anwenders
Anwendung	Anwendungen
Anwendungsbereich	Anwendungsbereiches|Anwendungsbereichen|Anwendungsbereichs|Anwendungsbereiche
Anwendungsgebiet	Anwendungsgebiete|Anwendungsgebietes|Anwendungsgebiets|Anwendungsgebieten
anwerben	angeworben|anzuwerben|anwerbend
Anwesen	Anwesens
anwidern	angewidert|anzuwidern|anwidernd
Anwohner	Anwohnern|Anwohners
anwärmen	anwärmend|anzuwärmen|angewärmt
Anwärter	Anwärters|Anwärtern
Anzahlung	Anzahlungen
Anzeichen	Anzeichens
Anzeige	Anzeigen
anzeigen	anzuzeigen|anzeigend|angezeigt
Anzeiger	Anzeigern|Anzeigers
Anziehen	Anziehens
anziehend	anziehender|anziehendem|anziehenden|anziehendes|anziehende
Anziehungskraft	Anziehungskräfte|Anziehungskräften
Anzug	Anzüge|Anzuge|Anzügen|Anzugs|Anzuges
anzweifeln	anzweifelnd|anzuzweifeln|angezweifelt
anzüglich	anzügliche|anzüglichen|anzüglicher|anzüglichem|anzügliches
anzünden	anzuzünden|angezündet|anzündend
Anzünder	Anzünders|Anzündern
Apathie	Apathien
apathisch	apathischer|apathisches|apathischem|apathischen|apathische
Aperitif	Aperitife|Aperitifs|Aperitifen
Apfel	Äpfel|Äpfeln|Apfels
Apfelbaum	Apfelbaums|Apfelbaumes|Apfelbaume|Apfelbäume|Apfelbäumen
Apfelkuchen	Apfelkuchens
Apfelmus	Apfelmuses|Apfelmusen|Apfelmuse
Apfelsaft	Apfelsaftes|Apfelsafts|Apfelsafte|Apfelsäften|Apfelsäfte
Apfelsine	Apfelsinen
Apfelwein	Apfelweins|Apfelweine|Apfelweinen|Apfelweines
aphoristisch	aphoristische|aphoristisches|aphoristischem|aphoristischer|aphoristischen
Apostel	Apostels|Aposteln
Apostroph	Apostrophes|Apostrophs|Apostrophe|Apostrophen
Apotheke	Apotheken
Apotheker	Apothekers|Apothekern
Apparat	Apparaten|Apparate|Apparats|Apparates
Apparatur	Apparaturen
Appartement	Appartements
Appell	Appelle|Appells|Appellen
appellieren	appellierten|appellieret|appellierest|appellier|appelliert|appellierst|appellierend|appelliertest|appellierte|appelliere|appelliertet
appetitanregend	appetitanregendem|appetitanregendes|appetitanregenden|appetitanregende|appetitanregender
appetitlich	appetitlicher|appetitliches|appetitliche|appetitlichem|appetitlichen
applaudieren	applaudiertet|applaudiertest|applaudierten|applaudier|applaudierend|applaudiert|applaudierte|applaudieret|applaudierst|applaudiere|applaudierest
Aprikose	Aprikosen
April	Aprile|Aprils|Aprilen
Aquamarin	Aquamarinen|Aquamarins|Aquamarine
Aquarium	Aquariums|Aquarien
Araber	Arabers|Arabern
Arbeiten	Arbeitens
Arbeiter	Arbeitern|Arbeiters
Arbeiterpartei	Arbeiterparteien
Arbeitgeber	Arbeitgebern|Arbeitgebers
Arbeitnehmer	Arbeitnehmern|Arbeitnehmers
arbeitsam	arbeitsame|arbeitsames|arbeitsamem|arbeitsamen|arbeitsamer
Arbeitsamt	Arbeitsamtes|Arbeitsämter|Arbeitsamts|Arbeitsämtern|Arbeitsamte
Arbeitsbereich	Arbeitsbereichen|Arbeitsbereichs|Arbeitsbereiches|Arbeitsbereiche
Arbeitsbericht	Arbeitsberichts|Arbeitsberichte|Arbeitsberichtes|Arbeitsberichten
Arbeitsbeschaffung	Arbeitsbeschaffungen
Arbeitseinstellung	Arbeitseinstellungen
Arbeitsfeld	Arbeitsfeldes|Arbeitsfelder|Arbeitsfelds|Arbeitsfelde|Arbeitsfeldern
Arbeitsfläche	Arbeitsflächen
Arbeitsgruppe	Arbeitsgruppen
Arbeitsleistung	Arbeitsleistungen
Arbeitslohn	Arbeitslohnes|Arbeitslöhnen|Arbeitslohns|Arbeitslöhne|Arbeitslohne
Arbeitslosengeld	Arbeitslosengeldern|Arbeitslosengelder|Arbeitslosengelde|Arbeitslosengeldes|Arbeitslosengelds
Arbeitslosenversicherung	Arbeitslosenversicherungen
Arbeitspensum	Arbeitspensums|Arbeitspensen
Arbeitsplatz	Arbeitsplätzen|Arbeitsplatze|Arbeitsplatzes|Arbeitsplätze
Arbeitsschritt	Arbeitsschritten|Arbeitsschrittes|Arbeitsschritts|Arbeitsschritte
Arbeitsschutz	Arbeitsschutzen|Arbeitsschutze|Arbeitsschutzes
Arbeitsspeicher	Arbeitsspeichern|Arbeitsspeichers
Arbeitstier	Arbeitstieres|Arbeitstieren|Arbeitstiers|Arbeitstiere
Arbeitstisch	Arbeitstischen|Arbeitstische|Arbeitstisches
Arbeitsunfall	Arbeitsunfalles|Arbeitsunfälle|Arbeitsunfalle|Arbeitsunfällen|Arbeitsunfalls
Arbeitsunfähigkeit	Arbeitsunfähigkeiten
Arbeitszeit	Arbeitszeiten
Arbeitszimmer	Arbeitszimmers|Arbeitszimmern
archaisch	archaischem|archaisches|archaischen|archaischer|archaische
Architekt	Architekten
Architektur	Architekturen
Archivar	Archivaren|Archivare|Archivars
Archäologe	Archäologen
Arena	Arenen
arg	argem|arges|arger|argen|ärger|arge
Argentinier	Argentiniern|Argentiniers
arglistig	arglistiger|arglistigen|arglistige|arglistigem|arglistiges
arglos	arglosen|arglose|argloser|arglosem|argloses
Arglosigkeit	Arglosigkeiten
Argument	Argumentes|Argumenten|Argumente|Arguments
argumentieren	argumentierend|argumentieret|argumentiertet|argumentierst|argumentiert|argumentier|argumentiere|argumentierest|argumentierte|argumentiertest|argumentierten
Argwohn	Argwohns|Argwohnes|Argwohne
argwöhnisch	argwöhnischer|argwöhnisches|argwöhnischem|argwöhnische|argwöhnischen
Arie	Arien
Aristokrat	Aristokraten
aristokratisch	aristokratischem|aristokratisches|aristokratischen|aristokratische|aristokratischer
Arkade	Arkaden
